group_id,group_name,room_type,billing_basis,regular_semester_baht,special_semester_baht,single_annual_baht,single_split_per_term_baht,two_person_annual_baht,two_person_split_per_term_baht,water_fee,electricity_fee,damage_deposit,key_deposit,notes
noppharat_9,หอพักนพรัตน์ (หอพัก 9 หลัง),ห้องพักธรรมดา,บาท/คน/ภาคการศึกษา,4490,2175,,,,,เหมาจ่ายรวมกับค่าหอพัก,หน่วยละ 4.1007 บาท,500 บาทต่อคน,ไม่มี,
noppharat_9,หอพักนพรัตน์ (หอพัก 9 หลัง),ห้องปรับอากาศ,บาท/คน/ภาคการศึกษา,6010,2990,,,,,เหมาจ่ายรวมกับค่าหอพัก,หน่วยละ 4.1007 บาท,500 บาทต่อคน,ไม่มี,
noppharat_9,หอพักนพรัตน์ (หอพัก 9 หลัง),ห้องปรับอากาศพิเศษ (โทรทัศน์และตู้เย็น),บาท/คน/ภาคการศึกษา,6750,3360,,,,,เหมาจ่ายรวมกับค่าหอพัก,หน่วยละ 4.1007 บาท,500 บาทต่อคน,ไม่มี,
wora_residence_8,หอพักสวัสดิการนักศึกษา (8 หลัง) / หอพักเคเคยู-วรเรสซิเดนซ์,ห้องพัดลม,เหมาจ่ายรายปี/แบ่งจ่าย 2 ภาค,,,32400,16200,16200,8100,หน่วยละ 9.35 บาท,หน่วยละ 3.28 บาท,"2,800 บาทต่อห้อง",ไม่มี,
wora_residence_8,หอพักสวัสดิการนักศึกษา (8 หลัง) / หอพักเคเคยู-วรเรสซิเดนซ์,ห้องปรับอากาศ,เหมาจ่ายรายปี/แบ่งจ่าย 2 ภาค,,,48000,24000,24000,12000,หน่วยละ 9.35 บาท,หน่วยละ 3.28 บาท,"2,800 บาทต่อห้อง",ไม่มี,
wora_residence_8,หอพักสวัสดิการนักศึกษา (8 หลัง) / หอพักเคเคยู-วรเรสซิเดนซ์,ห้องปรับอากาศภาคพิเศษ,เหมาจ่ายรายปี/แบ่งจ่าย 2 ภาค,,,54000,27000,27000,13500,หน่วยละ 9.35 บาท,หน่วยละ 3.28 บาท,"2,800 บาทต่อห้อง",ไม่มี,
wora_residence_8,หอพักสวัสดิการนักศึกษา (8 หลัง) / หอพักเคเคยู-วรเรสซิเดนซ์,ห้องพักปรับ garden,เหมาจ่ายรายปี/แบ่งจ่าย 2 ภาค,,,60000,30000,30000,15000,หน่วยละ 9.35 บาท,หน่วยละ 3.28 บาท,"2,800 บาทต่อห้อง",ไม่มี,
wora_inter_4,หอพักสวัสดิการนักศึกษา (4 หลัง) / หอพักเคเคยู-วรอินเตอร์,ห้องพัดลม,เหมาจ่ายรายปี/แบ่งจ่าย 2 ภาค,,,36000,18000,18200,9000,หน่วยละ 9.35 บาท,หน่วยละ 3.28 บาท,"3,000 บาทต่อห้อง",ไม่มี,"ตามเอกสาร PDF ระบุพักห้องละ 2 คน อัตราต่อปี 18,200 บาท และแบ่งจ่าย 2 ภาค 9,000 บาท ซึ่งยอดรายปีกับยอดแบ่งจ่ายรวมกันไม่เท่ากัน จึงคงค่าตามต้นฉบับไว้"
wora_inter_4,หอพักสวัสดิการนักศึกษา (4 หลัง) / หอพักเคเคยู-วรอินเตอร์,ห้องปรับอากาศ,เหมาจ่ายรายปี/แบ่งจ่าย 2 ภาค,,,52800,26400,26400,13200,หน่วยละ 9.35 บาท,หน่วยละ 3.28 บาท,"3,000 บาทต่อห้อง",ไม่มี,
wora_inter_4,หอพักสวัสดิการนักศึกษา (4 หลัง) / หอพักเคเคยู-วรอินเตอร์,ห้องปรับอากาศภาคพิเศษ,เหมาจ่ายรายปี/แบ่งจ่าย 2 ภาค,,,66000,33000,33000,16500,หน่วยละ 9.35 บาท,หน่วยละ 3.28 บาท,"3,000 บาทต่อห้อง",ไม่มี,
wora_inter_4,หอพักสวัสดิการนักศึกษา (4 หลัง) / หอพักเคเคยู-วรอินเตอร์,ห้องพักปรับ garden,เหมาจ่ายรายปี/แบ่งจ่าย 2 ภาค,,,76400,37200,37200,18600,หน่วยละ 9.35 บาท,หน่วยละ 3.28 บาท,"3,000 บาทต่อห้อง",ไม่มี,"ตามเอกสาร PDF ระบุเหมาจ่ายพักคนเดียวต่อปี 76,400 บาท และแบ่งจ่าย 2 ภาค 37,200 บาท ซึ่งยอดรายปีกับยอดแบ่งจ่ายรวมกันไม่เท่ากัน จึงคงค่าตามต้นฉบับไว้"
