parent,child
รองอธิการบดีฝ่ายพัฒนานักศึกษาและศิษย์เก่าสัมพันธ์,ผู้อำนวยการกองบริการหอพักนักศึกษา
ผู้อำนวยการกองบริการหอพักนักศึกษา,คณะกรรมการบริหารหอพัก
ผู้อำนวยการกองบริการหอพักนักศึกษา,งานบริหารหอพัก
ผู้อำนวยการกองบริการหอพักนักศึกษา,งานพัฒนาและบำรุงรักษาหอพัก
งานบริหารหอพัก,หน่วยบริการหอพักที่ 1 - 6
งานบริหารหอพัก,หน่วยอำนวยการ
งานบริหารหอพัก,หน่วยสารสนเทศและนวัตกรรม
งานบริหารหอพัก,หน่วยให้คำปรึกษาและดูแลนักศึกษาพิเศษ
งานพัฒนาและบำรุงรักษาหอพัก,หน่วยภูมิทัศน์และสิ่งแวดล้อม
งานพัฒนาและบำรุงรักษาหอพัก,หน่วยซ่อมบำรุง
